customer_id,gender,p3bkrel_pur,DOB,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,age_bracket,address,postcode,state,country,property_valuation
62,Female,38,1979-07-06,IT,Mass Customer,0,1,22.0,43,40,41 Schurz Center,2749,NSW,Australia,8
63,Female,58,1965-07-03,Retail,Mass Customer,0,1,16.0,57,60,68150 Boyd Road,2745,NSW,Australia,9
64,Male,73,1978-03-25,IT,High Net Worth,0,0,4.0,44,40,11474 Westend Hill,3752,VIC,Australia,8
65,Male,21,1976-04-01,Financial Services,Affluent Customer,0,1,15.0,46,50,308 Jana Crossing,2153,NSW,Australia,10
66,Male,46,2002-03-11,Argiculture,High Net Worth,0,0,1.0,20,20,163 Straubel Trail,2217,NSW,Australia,10
67,Male,67,1960-06-14,Retail,Mass Customer,0,0,18.0,62,60,68294 Clarendon Crossing,2230,NSW,Australia,10
70,Male,78,1993-02-27,Financial Services,Affluent Customer,0,0,8.0,29,30,9 Bonner Road,2070,NSW,Australia,12
71,Male,30,1985-01-27,Argiculture,Affluent Customer,0,1,12.0,37,40,07041 Briar Crest Lane,2213,NSW,Australia,10
72,Male,93,1972-02-13,Manufacturing,Affluent Customer,0,1,16.0,50,50,29466 Hanson Pass,4208,QLD,Australia,6
75,Female,28,1978-07-15,Property,Mass Customer,0,0,19.0,44,40,4763 Merchant Avenue,2756,NSW,Australia,8
76,Female,20,1978-01-23,Retail,High Net Worth,0,1,18.0,44,40,439 Ridgeway Court,4213,QLD,Australia,9
77,Male,79,1989-09-12,Financial Services,Mass Customer,0,0,7.0,32,30,2 Clyde Gallagher Lane,4170,QLD,Australia,5
78,Male,37,1985-03-12,Argiculture,Affluent Customer,0,0,8.0,37,40,97455 Loeprich Lane,2153,NSW,Australia,9
79,Female,76,1968-10-02,Manufacturing,Mass Customer,0,0,18.0,53,50,9527 Ridgeway Street,2073,NSW,Australia,10
80,Male,11,1978-04-24,Entertainment,Mass Customer,0,0,13.0,44,40,7 Jackson Point,3561,VIC,Australia,1
81,Female,58,1986-09-04,Health,High Net Worth,0,0,13.0,35,40,74 Anniversary Junction,2330,NSW,Australia,6
82,Female,93,1965-06-28,Property,High Net Worth,0,0,19.0,57,60,2083 Spaight Court,3977,VIC,Australia,8
83,Male,97,1967-02-26,IT,Mass Customer,0,1,18.0,55,60,2796 Caliangt Circle,2204,NSW,Australia,12
86,Male,75,1989-03-04,Health,High Net Worth,0,1,7.0,33,30,289 Haas Street,2075,NSW,Australia,11
87,Male,78,1974-04-23,Financial Services,Mass Customer,0,0,8.0,48,50,4423 Bartelt Parkway,2038,NSW,Australia,12
88,Female,41,1966-02-03,Property,High Net Worth,0,1,7.0,56,60,5 Grim Center,2069,NSW,Australia,12
89,Male,74,1967-01-22,Health,Mass Customer,0,1,14.0,55,60,73042 Roth Crossing,2100,NSW,Australia,11
90,Male,76,1984-11-12,Manufacturing,Mass Customer,0,0,11.0,37,40,171 Fordem Junction,2233,NSW,Australia,10
91,Male,69,1955-02-24,Financial Services,Affluent Customer,0,1,17.0,67,70,2640 Manley Point,2166,NSW,Australia,9
92,Female,98,1980-09-11,Health,Mass Customer,0,0,12.0,41,40,3 Hintze Pass,3133,VIC,Australia,10
93,Male,63,1976-07-16,Retail,Mass Customer,0,1,10.0,46,50,2 Mcbride Road,3070,VIC,Australia,10
94,Male,33,1974-08-07,Manufacturing,Mass Customer,0,0,21.0,47,50,67234 Transport Hill,2777,NSW,Australia,7
95,Female,67,1960-12-25,Manufacturing,Affluent Customer,0,1,8.0,61,60,72 Dorton Crossing,3133,VIC,Australia,10
96,Male,33,1968-08-31,Manufacturing,Mass Customer,0,0,15.0,53,50,6 Heffernan Center,2125,NSW,Australia,11
97,Male,16,1979-07-27,Financial Services,Mass Customer,0,1,10.0,42,40,6088 Roxbury Hill,2766,NSW,Australia,8
98,Female,19,1956-03-17,Health,Mass Customer,0,0,7.0,66,70,105 Shelley Alley,2209,NSW,Australia,10
99,Male,97,1998-06-13,Financial Services,Mass Customer,0,0,3.0,24,20,079 Merry Park,2160,NSW,Australia,9
100,Male,80,1968-05-11,Financial Services,Mass Customer,0,1,4.0,54,50,8722 Summit Alley,2065,NSW,Australia,12
101,Male,83,1975-12-29,Manufacturing,High Net Worth,0,0,11.0,46,50,9554 Artisan Pass,2150,NSW,Australia,10
102,Male,51,1956-11-27,Manufacturing,Affluent Customer,0,0,16.0,65,60,55850 Butterfield Road,2168,NSW,Australia,9
103,Female,49,1997-04-21,Financial Services,Affluent Customer,0,1,4.0,25,20,68 Little Fleur Crossing,2046,NSW,Australia,12
104,Female,40,1978-06-06,Health,Mass Customer,0,1,9.0,44,40,85688 New Castle Crossing,4171,QLD,Australia,10
105,Female,25,2001-09-17,Manufacturing,Mass Customer,0,0,1.0,20,20,8611 Loomis Lane,2155,NSW,Australia,10
106,Male,54,1966-07-03,Health,High Net Worth,0,1,18.0,56,60,7909 Pierstorff Crossing,2517,NSW,Australia,9
107,Female,97,1990-07-01,Financial Services,Mass Customer,0,1,9.0,32,30,01 Muir Parkway,2096,NSW,Australia,12
110,Male,23,2000-07-31,Financial Services,Affluent Customer,0,0,1.0,21,20,5 Moose Road,3977,VIC,Australia,8
112,Female,88,1975-08-12,Retail,High Net Worth,0,0,12.0,46,50,0 David Terrace,3204,VIC,Australia,11
114,Female,10,1985-10-23,Entertainment,Affluent Customer,0,0,8.0,36,40,60 Oneill Street,2170,NSW,Australia,9
115,Male,77,1981-12-21,Health,Mass Customer,0,0,18.0,40,40,8194 Sachtjen Drive,3844,VIC,Australia,1
116,Male,49,1999-02-05,Manufacturing,Affluent Customer,0,1,2.0,23,20,0349 Farmco Terrace,2168,NSW,Australia,8
117,Female,75,1982-02-23,Manufacturing,Mass Customer,0,0,15.0,40,40,185 Pennsylvania Way,4226,QLD,Australia,6
120,Male,80,1978-09-02,Financial Services,High Net Worth,0,1,4.0,43,40,7 Carberry Crossing,2485,NSW,Australia,2
121,Male,82,1957-10-02,Manufacturing,Mass Customer,0,0,15.0,64,60,53 Talisman Trail,2097,NSW,Australia,9
122,Male,87,1979-04-19,Financial Services,Mass Customer,0,1,12.0,43,40,5 Prairie Rose Road,4817,QLD,Australia,2
123,Female,85,1988-12-03,Financial Services,High Net Worth,0,0,15.0,33,30,84 Florence Parkway,2516,NSW,Australia,8
124,Female,27,1995-05-03,Health,High Net Worth,0,1,5.0,27,30,739 Elmside Way,3074,VIC,Australia,8
125,Female,94,1960-03-17,Property,Mass Customer,0,0,16.0,62,60,684 Northport Circle,2213,NSW,Australia,10
126,Male,53,1992-10-15,Health,Mass Customer,0,1,3.0,29,30,8 Hagan Hill,4508,QLD,Australia,4
127,Female,81,1974-12-03,Financial Services,Mass Customer,0,0,19.0,47,50,0 Pearson Crossing,4405,QLD,Australia,1
128,Male,73,1977-07-17,Property,Mass Customer,0,1,12.0,44,40,10918 Merry Way,2452,NSW,Australia,5
129,Male,64,1985-07-20,Financial Services,High Net Worth,0,1,19.0,36,40,97 Coolidge Trail,2142,NSW,Australia,9
130,Male,32,1997-07-18,Manufacturing,Mass Customer,0,0,1.0,24,20,58 Helena Hill,2205,NSW,Australia,7
131,Female,57,1964-10-16,Retail,High Net Worth,0,0,8.0,57,60,352 Forster Place,4132,QLD,Australia,3
132,Female,5,1963-07-07,Manufacturing,Mass Customer,0,1,9.0,59,60,12306 Lawn Street,2145,NSW,Australia,8
133,Male,12,1977-06-13,Financial Services,Mass Customer,0,1,16.0,45,40,19392 7th Trail,4744,QLD,Australia,1
134,Female,34,1997-08-01,Telecommunications,Affluent Customer,0,1,5.0,24,20,1605 Northfield Junction,2158,NSW,Australia,11
135,Female,18,1975-01-18,IT,Mass Customer,0,0,3.0,47,50,9674 Graceland Junction,3201,VIC,Australia,6
136,Male,46,1973-05-26,Manufacturing,High Net Worth,0,1,7.0,49,50,638 Thackeray Junction,4178,QLD,Australia,3
137,Male,27,1987-11-21,Property,High Net Worth,0,0,10.0,34,30,869 Forster Circle,2112,NSW,Australia,10
138,Male,5,1985-04-28,Financial Services,Affluent Customer,0,1,13.0,37,40,0 Golden Leaf Crossing,2033,NSW,Australia,9
139,Male,1,1964-07-28,Telecommunications,Affluent Customer,0,0,4.0,57,60,215 Lindbergh Trail,4401,QLD,Australia,1
140,Male,9,1994-05-20,Manufacturing,Mass Customer,0,0,2.0,28,30,829 Washington Crossing,3186,VIC,Australia,9
141,Male,67,1954-06-25,Financial Services,High Net Worth,0,1,10.0,68,70,585 Loomis Court,2097,NSW,Australia,11
142,Male,57,1967-08-07,Health,Affluent Customer,0,0,17.0,54,50,68063 Blue Bill Park Center,3058,VIC,Australia,9
143,Male,19,1957-09-01,Argiculture,Mass Customer,0,1,11.0,64,60,15673 Farmco Point,4017,QLD,Australia,6
145,Male,33,1997-07-21,Financial Services,Mass Customer,0,0,4.0,24,20,7245 Cottonwood Center,2285,NSW,Australia,5
146,Male,34,1985-04-08,Manufacturing,Mass Customer,0,0,8.0,37,40,20382 Spohn Alley,2219,NSW,Australia,11
147,Female,32,1973-12-06,Health,Mass Customer,0,1,10.0,48,50,12375 Cambridge Pass,2065,NSW,Australia,11
149,Female,41,1995-01-31,Health,Mass Customer,0,1,1.0,27,30,939 Coleman Pass,4509,QLD,Australia,7
150,Male,6,1983-08-23,Financial Services,Affluent Customer,0,0,17.0,38,40,69914 Bowman Place,2330,NSW,Australia,7
151,Male,36,1965-01-31,Manufacturing,Mass Customer,0,1,13.0,57,60,34457 Springview Street,2759,NSW,Australia,9
152,Female,5,1981-03-03,Financial Services,Mass Customer,0,0,16.0,41,40,992 Old Shore Trail,2069,NSW,Australia,12
153,Female,73,1977-07-28,Entertainment,Mass Customer,0,1,12.0,44,40,453 Sheridan Street,2747,NSW,Australia,8
155,Male,4,1985-12-28,Manufacturing,Mass Customer,0,0,10.0,36,40,63344 Holmberg Crossing,2025,NSW,Australia,10
156,Female,23,1979-09-09,Financial Services,Mass Customer,0,1,11.0,42,40,9 Huxley Circle,3191,VIC,Australia,11
157,Male,97,1974-11-23,Financial Services,Affluent Customer,0,0,16.0,47,50,0 Hazelcrest Road,3025,VIC,Australia,8
159,Male,90,1987-05-12,Health,Affluent Customer,0,0,13.0,35,40,80 Duke Terrace,2233,NSW,Australia,10
160,Male,5,1964-07-15,Health,Mass Customer,0,0,18.0,58,60,860 Hintze Lane,2154,NSW,Australia,11
162,Male,90,1979-08-12,IT,Mass Customer,0,0,15.0,42,40,5 Corry Court,2119,NSW,Australia,10
163,Female,58,1976-09-06,Entertainment,High Net Worth,0,1,14.0,45,40,65105 Sommers Pass,3016,VIC,Australia,10
164,Female,55,1999-08-07,Retail,Affluent Customer,0,1,1.0,22,20,2054 Sommers Pass,4113,QLD,Australia,4
165,Male,61,1984-03-25,Argiculture,Mass Customer,0,1,12.0,38,40,22371 Miller Trail,2032,NSW,Australia,10
166,Male,54,1955-06-12,Manufacturing,Affluent Customer,0,0,6.0,67,70,35807 Oneill Way,4300,QLD,Australia,4
167,Female,95,1969-10-27,Health,High Net Worth,0,1,17.0,52,50,75612 Clarendon Junction,4352,QLD,Australia,6
169,Male,20,1957-10-19,Telecommunications,High Net Worth,0,1,5.0,64,60,93 Iowa Junction,2116,NSW,Australia,9
170,Male,80,1975-06-02,Health,High Net Worth,0,0,21.0,47,50,48 Cascade Terrace,3057,VIC,Australia,8
171,Female,62,1970-12-04,Manufacturing,Mass Customer,0,0,10.0,51,50,13950 Jackson Avenue,2099,NSW,Australia,11
172,Male,54,1988-09-12,Manufacturing,Affluent Customer,0,1,6.0,33,30,35386 Mockingbird Road,3749,VIC,Australia,4
173,Female,99,1997-01-02,Health,Affluent Customer,0,0,1.0,25,20,2 Randy Point,2766,NSW,Australia,8
174,Female,93,1989-11-26,Health,Mass Customer,0,0,12.0,32,30,6898 Redwing Park,2148,NSW,Australia,9
175,Male,36,1975-11-28,Manufacturing,Affluent Customer,0,0,5.0,46,50,52273 Bay Place,3145,VIC,Australia,11
176,Male,39,1992-04-13,Property,Mass Customer,0,0,10.0,30,30,272 Montana Avenue,2021,NSW,Australia,8
177,Female,25,1989-11-09,Financial Services,High Net Worth,0,0,4.0,32,30,82520 Mifflin Drive,2333,NSW,Australia,5
179,Male,23,1966-05-11,Manufacturing,High Net Worth,0,1,6.0,56,60,4 Dayton Terrace,2280,NSW,Australia,9
180,Female,16,1971-09-17,Argiculture,Affluent Customer,0,0,14.0,50,50,216 Barnett Junction,4120,QLD,Australia,8
181,Female,49,1982-11-21,Manufacturing,Mass Customer,0,0,9.0,39,40,8256 Annamark Court,3638,VIC,Australia,1
182,Male,99,1992-11-20,Financial Services,Affluent Customer,0,1,7.0,29,30,83012 Dapin Lane,4300,QLD,Australia,4
183,Female,7,1997-08-05,Retail,Affluent Customer,0,0,3.0,24,20,8 Haas Park,2074,NSW,Australia,10
184,Male,40,1971-12-13,Manufacturing,High Net Worth,0,1,7.0,50,50,50 Meadow Ridge Way,2880,NSW,Australia,1
185,Male,80,1979-12-13,Property,Mass Customer,0,1,13.0,42,40,3567 Northfield Lane,2430,NSW,Australia,5
186,Female,46,1974-05-06,Financial Services,Mass Customer,0,0,3.0,48,50,0059 Brentwood Road,4560,QLD,Australia,7
188,Female,54,1975-06-22,Property,High Net Worth,0,1,13.0,47,50,4179 Carioca Terrace,2220,NSW,Australia,11
189,Male,73,1981-07-19,Financial Services,Affluent Customer,0,0,10.0,40,40,59265 Sullivan Junction,3031,VIC,Australia,4
190,Female,42,1979-02-04,Health,Affluent Customer,0,0,10.0,43,40,7 Warbler Point,2250,NSW,Australia,9
192,Female,2,1978-11-19,Health,Mass Customer,0,1,8.0,43,40,0 Bay Center,3196,VIC,Australia,6
193,Male,13,1964-07-22,Manufacturing,Mass Customer,0,1,12.0,57,60,10878 Waywood Way,4352,QLD,Australia,7
194,Female,4,1974-11-16,Financial Services,Affluent Customer,0,0,10.0,47,50,362 Mayer Terrace,4680,QLD,Australia,5
195,Female,34,1958-11-14,Manufacturing,Mass Customer,0,0,6.0,63,60,43 Upham Crossing,3143,VIC,Australia,9
196,Male,90,1966-02-22,Manufacturing,High Net Worth,0,0,6.0,56,60,0 Superior Drive,2747,NSW,Australia,8
198,Female,82,1981-11-29,Entertainment,Mass Customer,0,0,16.0,40,40,5484 Hagan Crossing,3021,VIC,Australia,7
199,Female,61,1978-02-13,Health,Mass Customer,0,1,21.0,44,40,7451 Jana Lane,2138,NSW,Australia,8
200,Male,7,1957-02-04,Property,Affluent Customer,0,1,19.0,65,60,7 Havey Point,4005,QLD,Australia,2
201,Male,45,1966-04-20,Manufacturing,Mass Customer,0,1,11.0,56,60,32 Steensland Plaza,2233,NSW,Australia,9
202,Female,38,1963-06-24,Entertainment,Affluent Customer,0,1,16.0,59,60,107 Elmside Parkway,4811,QLD,Australia,5
203,Male,71,1964-01-13,Argiculture,Mass Customer,0,1,11.0,58,60,2 Gina Junction,2085,NSW,Australia,11
204,Male,56,1976-10-01,Financial Services,Mass Customer,0,0,5.0,45,40,4 Londonderry Lane,3084,VIC,Australia,10
205,Male,18,1958-12-01,Financial Services,Mass Customer,0,1,6.0,63,60,39716 Vera Junction,3170,VIC,Australia,9
208,Male,57,1994-10-31,Property,High Net Worth,0,0,5.0,27,30,056 Stone Corner Alley,4078,QLD,Australia,7
210,Male,50,1963-11-18,Property,Mass Customer,0,0,18.0,58,60,19969 5th Parkway,3152,VIC,Australia,9
211,Female,6,1974-03-04,Manufacturing,Mass Customer,0,1,5.0,48,50,78 Rockefeller Park,2159,NSW,Australia,10
212,Female,21,2001-11-19,IT,Affluent Customer,0,0,1.0,20,20,417 Transport Trail,4503,QLD,Australia,4
213,Male,13,1996-05-14,Financial Services,High Net Worth,0,1,6.0,26,30,6327 Lunder Crossing,4655,QLD,Australia,4
214,Male,82,1957-11-29,Health,Mass Customer,0,0,6.0,64,60,811 Tony Road,4220,QLD,Australia,9
215,Female,37,1974-06-24,Retail,High Net Worth,0,1,18.0,48,50,0 Northport Court,4012,QLD,Australia,3
216,Female,12,1995-01-12,Financial Services,High Net Worth,0,1,7.0,27,30,231 Havey Court,2153,NSW,Australia,10
217,Female,63,1979-12-09,Manufacturing,High Net Worth,0,0,16.0,42,40,603 Kenwood Avenue,2070,NSW,Australia,11
218,Female,37,1993-08-06,Property,High Net Worth,0,1,8.0,28,30,09040 Myrtle Parkway,2015,NSW,Australia,8
219,Male,9,1964-11-25,Health,Mass Customer,0,0,7.0,57,60,05241 Shelley Park,2776,NSW,Australia,8
220,Female,79,1954-05-10,Manufacturing,High Net Worth,0,0,9.0,68,70,7 Pankratz Point,3011,VIC,Australia,8
221,Female,14,1980-03-10,Manufacturing,Mass Customer,0,0,14.0,42,40,51 Crescent Oaks Parkway,2761,NSW,Australia,8
222,Male,89,1978-09-03,Health,Mass Customer,0,0,16.0,43,40,49 Emmet Junction,2015,NSW,Australia,11
224,Male,2,1967-12-03,Financial Services,Affluent Customer,0,0,17.0,54,50,6236 Summerview Terrace,2110,NSW,Australia,12
225,Female,84,1977-03-11,Health,Affluent Customer,0,0,13.0,45,40,682 Sheridan Avenue,2566,NSW,Australia,9
226,Male,96,1977-11-11,Manufacturing,Mass Customer,0,0,20.0,44,40,04139 Delladonna Place,2519,NSW,Australia,7
227,Male,99,1973-08-14,Entertainment,Mass Customer,0,0,18.0,48,50,2 Scott Circle,2506,NSW,Australia,9
228,Female,59,1986-05-25,Manufacturing,High Net Worth,0,0,12.0,36,40,92253 Kensington Drive,2209,NSW,Australia,7
229,Male,30,1966-03-06,Property,High Net Worth,0,0,19.0,56,60,93 Westend Terrace,2116,NSW,Australia,10
230,Female,74,1954-06-24,Property,High Net Worth,0,0,11.0,68,70,4 5th Point,2075,NSW,Australia,11
231,Male,48,1995-08-05,Financial Services,Mass Customer,0,1,3.0,26,30,11667 Blackbird Street,2226,NSW,Australia,10
232,Female,94,1987-11-11,Retail,Mass Customer,0,0,12.0,34,30,0 Sommers Circle,2145,NSW,Australia,9
233,Male,34,1986-08-08,Property,Mass Customer,0,0,13.0,35,40,2 Northridge Street,2508,NSW,Australia,10
234,Female,71,1969-08-12,Retail,High Net Worth,0,0,12.0,52,50,816 Spohn Center,2036,NSW,Australia,10
235,Female,30,1976-12-26,Health,Mass Customer,0,0,15.0,45,40,98 Service Court,2018,NSW,Australia,8
236,Male,79,1954-10-30,Health,Affluent Customer,0,0,14.0,67,70,6 Morning Park,3666,VIC,Australia,2
237,Male,18,1974-03-07,Property,High Net Worth,0,1,11.0,48,50,4263 Hanson Place,2021,NSW,Australia,11
239,Male,62,1992-12-13,Health,Affluent Customer,0,0,3.0,29,30,95 Eliot Street,4514,QLD,Australia,3
240,Male,49,1989-07-28,IT,High Net Worth,0,1,15.0,32,30,0 Westend Park,2525,NSW,Australia,9
241,Male,94,1987-05-09,Entertainment,Mass Customer,0,0,20.0,35,40,39988 Porter Pass,4152,QLD,Australia,7
242,Male,17,1992-03-20,Property,Affluent Customer,0,0,8.0,30,30,0796 Melody Park,2200,NSW,Australia,9
243,Female,94,1976-09-02,Manufacturing,High Net Worth,0,1,14.0,45,40,2914 Vahlen Lane,2250,NSW,Australia,8
244,Male,57,1974-11-25,Retail,Affluent Customer,0,0,8.0,47,50,65 Kinsman Trail,3023,VIC,Australia,6
245,Female,6,2001-09-26,Financial Services,Affluent Customer,0,0,1.0,20,20,07227 Hoard Terrace,3500,VIC,Australia,1
246,Female,63,1991-02-28,Manufacturing,High Net Worth,0,0,9.0,31,30,25503 Evergreen Drive,4300,QLD,Australia,5
247,Female,62,1983-05-06,Financial Services,High Net Worth,0,1,13.0,39,40,2 2nd Plaza,2283,NSW,Australia,4
248,Female,76,1978-04-15,Health,Affluent Customer,0,1,12.0,44,40,122 Melrose Drive,2102,NSW,Australia,10
249,Male,65,1992-09-13,IT,High Net Worth,0,0,9.0,29,30,37024 Anniversary Place,2204,NSW,Australia,11
250,Male,53,1988-04-15,Health,Mass Customer,0,1,13.0,34,30,91141 Huxley Parkway,2040,NSW,Australia,10
251,Female,88,1977-12-24,Financial Services,Affluent Customer,0,1,10.0,44,40,04 Fallview Trail,2749,NSW,Australia,8
252,Female,39,1983-01-24,Property,Mass Customer,0,1,13.0,39,40,8029 Gulseth Center,2304,NSW,Australia,7
253,Female,82,1997-05-11,Health,Mass Customer,0,1,1.0,25,20,77248 Columbus Drive,2340,NSW,Australia,7
254,Female,98,1961-09-22,Retail,Mass Customer,0,0,14.0,60,60,0850 Schmedeman Drive,3580,VIC,Australia,1
255,Female,2,1954-01-15,IT,Mass Customer,0,0,5.0,68,70,131 Northfield Parkway,3355,VIC,Australia,2
256,Female,16,1975-05-07,Health,High Net Worth,0,1,21.0,47,50,5130 Manley Court,2287,NSW,Australia,7
257,Female,70,1966-02-08,Manufacturing,Affluent Customer,0,1,19.0,56,60,879 Coolidge Point,2324,NSW,Australia,5
258,Female,24,1992-05-03,Manufacturing,High Net Worth,0,0,9.0,30,30,6759 Nevada Point,2323,NSW,Australia,6
259,Female,70,1983-07-22,Health,High Net Worth,0,1,3.0,38,40,8208 Parkside Point,2320,NSW,Australia,6
260,Female,47,1979-08-30,Health,High Net Worth,0,1,22.0,42,40,15 Straubel Way,4680,QLD,Australia,2
262,Male,97,1977-12-23,Health,High Net Worth,0,1,10.0,44,40,42067 Duke Terrace,2031,NSW,Australia,10
263,Female,89,1985-11-19,Health,High Net Worth,0,0,7.0,36,40,50 Everett Way,2064,NSW,Australia,9
264,Male,31,1977-12-07,Health,Mass Customer,0,0,11.0,44,40,454 Green Ridge Avenue,2176,NSW,Australia,10
265,Male,74,1965-10-05,Retail,High Net Worth,0,1,18.0,56,60,19220 Evergreen Crossing,3195,VIC,Australia,9
266,Female,69,1989-07-19,Retail,Affluent Customer,0,0,18.0,32,30,109 Tomscot Avenue,2010,NSW,Australia,10
268,Female,60,1978-10-18,Manufacturing,Mass Customer,0,0,10.0,43,40,92 Lyons Place,2752,NSW,Australia,9
269,Male,55,1954-09-19,Property,Mass Customer,0,1,9.0,67,70,47 Jana Junction,3802,VIC,Australia,7
